ID,population_2017
"georgia,atkinson",8215
"georgia,bacon",11236
"georgia,baker",3180
"georgia,baldwin",44921
"georgia,banks",18638
"georgia,barrow",78843
"georgia,bartow",104981
"georgia,ben hill",17001
"georgia,berrien",19113
"georgia,bibb",152892
"georgia,bleckley",12775
"georgia,brantley",18767
"georgia,brooks",15648
"georgia,bryan",37019
"georgia,bulloch",76084
"georgia,burke",22518
"georgia,butts",24042
"georgia,calhoun",6399
"georgia,camden",53067
"georgia,candler",10725
"georgia,carroll",117458
"georgia,catoosa",66503
"georgia,charlton",12822
"georgia,chatham",289260
"georgia,chattahoochee",10285
"georgia,chattooga",24716
"georgia,cherokee",247894
"georgia,clarke",126820
"georgia,clay",2962
"georgia,clayton",284534
"georgia,clinch",6684
"georgia,cobb",752783
"georgia,coffee",42885
"georgia,colquitt",45543
"georgia,columbia",151642
"georgia,cook",17230
"georgia,coweta",143050
"georgia,crawford",12295
"georgia,crisp",22723
"georgia,dade",16249
"georgia,dawson",24324
"georgia,de kalb",26674
"georgia,decatur",752088
"georgia,dodge",20741
"georgia,dooly",13690
"georgia,dougherty",89417
"georgia,douglas",143672
"georgia,early",10304
"georgia,echols",3933
"georgia,effingham",60058
"georgia,elbert",19108
"georgia,emanuel",22501
"georgia,evans",10756
"georgia,fannin",25336
"georgia,fayette",112629
"georgia,floyd",97427
"georgia,forsyth",228588
"georgia,franklin",22815
"georgia,fulton",1038884
"georgia,gilmer",30409
"georgia,glascock",3050
"georgia,glynn",84859
"georgia,gordon",57187
"georgia,grady",24749
"georgia,greene",17220
"georgia,gwinnett",918153
"georgia,habersham",44547
"georgia,hall",199439
"georgia,hancock",8545
"georgia,haralson",29231
"georgia,harris",33943
"georgia,hart",25756
"georgia,heard",11759
"georgia,henry",225508
"georgia,houston",153138
"georgia,irwin",9383
"georgia,jackson",67716
"georgia,jasper",13886
"georgia,jeff davis",15013
"georgia,jefferson",15613
"georgia,jenkins",8774
"georgia,johnson",9760
"georgia,jones",28453
"georgia,lamar",18636
"georgia,lanier",10433
"georgia,laurens",47353
"georgia,lee",29443
"georgia,liberty",61745
"georgia,lincoln",7861
"georgia,long",18773
"georgia,lowndes",115389
"georgia,lumpkin",32822
"georgia,macon",21497
"georgia,madison",14102
"georgia,marion",13251
"georgia,mcduffie",29277
"georgia,mcintosh",8414
"georgia,meriwether",21031
"georgia,miller",5833
"georgia,mitchell",22333
"georgia,monroe",27181
"georgia,montgomery",9068
"georgia,morgan",18381
"georgia,murray",39809
"georgia,muscogee",193766
"georgia,newton",107935
"georgia,oconee",38012
"georgia,oglethorpe",14888
"georgia,paulding",159552
"georgia,peach",26881
"georgia,pickens",31526
"georgia,pierce",19219
"georgia,pike",18206
"georgia,polk",41910
"georgia,pulaski",11208
"georgia,putnam",21706
"georgia,quitman",2348
"georgia,rabun",16557
"georgia,randolph",6991
"georgia,richmond",201460
"georgia,rockdale",89866
"georgia,schley",5254
"georgia,screven",13959
"georgia,seminole",8287
"georgia,spalding",65403
"georgia,stephens",25785
"georgia,stewart",6179
"georgia,sumter",29817
"georgia,talbot",6257
"georgia,taliaferro",1622
"georgia,tattnall",25353
"georgia,taylor",8114
"georgia,telfair",15890
"georgia,terrell",8717
"georgia,thomas",44662
"georgia,tift",40438
"georgia,toombs",26896
"georgia,towns",11539
"georgia,treutlen",6760
"georgia,troup",70038
"georgia,turner",7915
"georgia,twiggs",8260
"georgia,union",23427
"georgia,upson",26197
"georgia,walker",69027
"georgia,walton",91406
"georgia,ware",35728
"georgia,warren",5292
"georgia,washington",20294
"georgia,wayne",29760
"georgia,webster",2596
"georgia,wheeler",7952
"georgia,white",29455
"georgia,whitfield",104063
"georgia,wilcox",8794
"georgia,wilkes",9877
"georgia,wilkinson",8967
"georgia,worth",20536
"idaho,ada",456885
"idaho,adams",4132
"idaho,bannock",85641
"idaho,bear lake",6031
"idaho,benewah",9165
"idaho,bingham",45904
"idaho,blaine",22277
"idaho,boise",7355
"idaho,bonner",43621
"idaho,bonneville",114692
"idaho,boundary",11914
"idaho,butte",2600
"idaho,camas",1097
"idaho,canyon",216871
"idaho,caribou",7027
"idaho,cassia",23697
"idaho,clark",885
"idaho,clearwater",8654
"idaho,custer",4152
"idaho,elmore",26800
"idaho,franklin",13488
"idaho,fremont",13115
"idaho,gem",17343
"idaho,gooding",15170
"idaho,idaho",16373
"idaho,jefferson",28500
"idaho,jerome",23759
"idaho,kootenai",157485
"idaho,latah",39714
"idaho,lemhi",7861
"idaho,lewis",3902
"idaho,lincoln",5338
"idaho,madison",39373
"idaho,minidoka",20796
"idaho,nez perce",40374
"idaho,oneida",4412
"idaho,owyhee",11626
"idaho,payette",23208
"idaho,power",7648
"idaho,shoshone",12552
"idaho,teton",11435
"idaho,twin falls",85278
"idaho,valley",10693
"idaho,washington",10061
"illinois,adams",66094
"illinois,alexander",6302
"illinois,bond",16635
"illinois,boone",53512
"illinois,brown",6611
"illinois,bureau",33168
"illinois,calhoun",4841
"illinois,carroll",14481
"illinois,cass",12461
"illinois,champaign",210104
"illinois,christian",33011
"illinois,clark",15809
"illinois,clay",13272
"illinois,clinton",37607
"illinois,coles",51348
"illinois,cook",5204502
"illinois,crawford",18955
"illinois,cumberland",10864
"illinois,de kalb",104151
"illinois,de witt",15909
"illinois,douglas",19639
"illinois,du page",930662
"illinois,edgar",17411
"illinois,edwards",6471
"illinois,effingham",34147
"illinois,fayette",21535
"illinois,ford",13317
"illinois,franklin",39004
"illinois,fulton",35095
"illinois,gallatin",5069
"illinois,greene",13168
"illinois,grundy",50613
"illinois,hamilton",8195
"illinois,hancock",17973
"illinois,hardin",3935
"illinois,henderson",6819
"illinois,henry",49246
"illinois,iroquois",27830
"illinois,jackson",57958
"illinois,jasper",9540
"illinois,jefferson",38111
"illinois,jersey",21901
"illinois,jo daviess",21549
