"V1","V2","Var","letter_var"
"f_jk_17_17",0,"jk","f"
"f_jk_17_18",0,"jk","f"
"f_jk_17_19",0,"jk","f"
"f_jk_17_2",0,"jk","f"
"f_jk_17_20",0,"jk","f"
"f_jk_17_21",0,"jk","f"
"f_jk_17_22",0,"jk","f"
"f_jk_17_23",0,"jk","f"
"f_jk_17_24",0,"jk","f"
"f_jk_17_25",0,"jk","f"
"f_jk_17_26",0,"jk","f"
"f_jk_17_27",0,"jk","f"
"f_jk_17_28",0,"jk","f"
"f_jk_17_29",5.56266047391,"jk","f"
"f_jk_17_3",0,"jk","f"
"f_jk_17_4",0,"jk","f"
"f_jk_17_5",0,"jk","f"
"f_jk_17_6",0,"jk","f"
"f_jk_17_7",0,"jk","f"
"f_jk_17_8",0,"jk","f"
"f_jk_17_9",0,"jk","f"
"f_jk_18_0",0,"jk","f"
"f_jk_18_1",0,"jk","f"
"f_jk_18_10",0,"jk","f"
"f_jk_18_11",0,"jk","f"
"f_jk_18_12",0,"jk","f"
"f_jk_18_13",0,"jk","f"
"f_jk_18_14",10.9583651896,"jk","f"
"f_jk_18_15",0,"jk","f"
"f_jk_18_16",0,"jk","f"
"f_jk_18_17",0,"jk","f"
"f_jk_18_18",0,"jk","f"
"f_jk_18_19",0,"jk","f"
"f_jk_18_2",0,"jk","f"
"f_jk_18_20",0,"jk","f"
"f_jk_18_21",0,"jk","f"
"f_jk_18_22",0,"jk","f"
"f_jk_18_23",0,"jk","f"
"f_jk_18_24",0,"jk","f"
"f_jk_18_25",0,"jk","f"
"f_jk_18_26",0,"jk","f"
"f_jk_18_27",0,"jk","f"
"f_jk_18_28",0,"jk","f"
"f_jk_18_29",0,"jk","f"
"f_jk_18_3",0,"jk","f"
"f_jk_18_4",0,"jk","f"
"f_jk_18_5",0,"jk","f"
"f_jk_18_6",0,"jk","f"
"f_jk_18_7",0,"jk","f"
"f_jk_18_8",0,"jk","f"
"f_jk_18_9",0,"jk","f"
"f_jk_19_0",0,"jk","f"
"f_jk_19_1",0,"jk","f"
"f_jk_19_10",0,"jk","f"
"f_jk_19_11",0,"jk","f"
"f_jk_19_12",0,"jk","f"
"f_jk_19_13",0,"jk","f"
"f_jk_19_14",0,"jk","f"
"f_jk_19_15",0,"jk","f"
"f_jk_19_16",0,"jk","f"
"f_jk_19_17",0,"jk","f"
"f_jk_19_18",0,"jk","f"
"f_jk_19_19",0,"jk","f"
"f_jk_19_2",0,"jk","f"
"f_jk_19_20",0,"jk","f"
"f_jk_19_21",0,"jk","f"
"f_jk_19_22",0,"jk","f"
"f_jk_19_23",0,"jk","f"
"f_jk_19_24",0,"jk","f"
"f_jk_19_25",0,"jk","f"
"f_jk_19_26",0,"jk","f"
"f_jk_19_27",0,"jk","f"
"f_jk_19_28",0,"jk","f"
"f_jk_19_29",2.95889302935,"jk","f"
"f_jk_19_3",0,"jk","f"
"f_jk_19_4",0,"jk","f"
"f_jk_19_5",0,"jk","f"
"f_jk_19_6",0,"jk","f"
"f_jk_19_7",0,"jk","f"
"f_jk_19_8",0,"jk","f"
"f_jk_19_9",0,"jk","f"
"f_jk_1_0",0,"jk","f"
"f_jk_1_1",0.117010147761,"jk","f"
"f_jk_1_10",0,"jk","f"
"f_jk_1_11",0,"jk","f"
"f_jk_1_12",0,"jk","f"
"f_jk_1_13",0,"jk","f"
"f_jk_1_14",0,"jk","f"
"f_jk_1_15",0,"jk","f"
"f_jk_1_16",0,"jk","f"
"f_jk_1_17",0,"jk","f"
"f_jk_1_18",0,"jk","f"
"f_jk_1_19",0,"jk","f"
"f_jk_1_2",11.226265913515,"jk","f"
"f_jk_1_20",0,"jk","f"
"f_jk_1_21",0,"jk","f"
"f_jk_1_22",0,"jk","f"
"f_jk_1_23",0,"jk","f"
"f_jk_1_24",0,"jk","f"
"f_jk_1_25",0,"jk","f"
"f_jk_1_26",0,"jk","f"
"f_jk_1_27",0,"jk","f"
"f_jk_1_28",0,"jk","f"
"f_jk_1_29",0,"jk","f"
"f_jk_1_3",0,"jk","f"
"f_jk_1_4",0,"jk","f"
"f_jk_1_5",1.00600830767,"jk","f"
"f_jk_1_6",0,"jk","f"
"f_jk_1_7",0,"jk","f"
"f_jk_1_8",0.388000313854,"jk","f"
"f_jk_1_9",0,"jk","f"
"f_jk_2_0",0,"jk","f"
"f_jk_2_1",0,"jk","f"
"f_jk_2_10",0,"jk","f"
"f_jk_2_11",0,"jk","f"
"f_jk_2_12",0,"jk","f"
"f_jk_2_13",0,"jk","f"
"f_jk_2_14",5.72442163103,"jk","f"
"f_jk_2_15",0,"jk","f"
"f_jk_2_16",0,"jk","f"
"f_jk_2_17",0,"jk","f"
"f_jk_2_18",0,"jk","f"
"f_jk_2_19",0,"jk","f"
"f_jk_2_2",0,"jk","f"
"f_jk_2_20",0,"jk","f"
"f_jk_2_21",0,"jk","f"
"f_jk_2_22",0,"jk","f"
"f_jk_2_23",0,"jk","f"
"f_jk_2_24",0,"jk","f"
"f_jk_2_25",0,"jk","f"
"f_jk_2_26",0,"jk","f"
"f_jk_2_27",0,"jk","f"
"f_jk_2_28",0,"jk","f"
"f_jk_2_29",0,"jk","f"
"f_jk_2_3",0,"jk","f"
"f_jk_2_4",0,"jk","f"
"f_jk_2_5",0,"jk","f"
"f_jk_2_6",0,"jk","f"
"f_jk_2_7",0,"jk","f"
"f_jk_2_8",0,"jk","f"
"f_jk_2_9",0,"jk","f"
"f_jk_3_0",1.1183665627,"jk","f"
"f_jk_3_1",0,"jk","f"
"f_jk_3_10",0,"jk","f"
"f_jk_3_11",0,"jk","f"
"f_jk_3_12",0,"jk","f"
"f_jk_3_13",0,"jk","f"
"f_jk_3_14",0,"jk","f"
"f_jk_3_15",0,"jk","f"
"f_jk_3_16",0,"jk","f"
"f_jk_3_17",0,"jk","f"
"f_jk_3_18",0,"jk","f"
"f_jk_3_19",0,"jk","f"
"f_jk_3_2",8.783044858185,"jk","f"
"f_jk_3_20",0,"jk","f"
"f_jk_3_21",0,"jk","f"
"f_jk_3_22",0,"jk","f"
"f_jk_3_23",0,"jk","f"
"f_jk_3_24",0,"jk","f"
"f_jk_3_25",0,"jk","f"
"f_jk_3_26",0,"jk","f"
"f_jk_3_27",0,"jk","f"
"f_jk_3_28",0.0163044255359974,"jk","f"
"f_jk_3_29",0,"jk","f"
"f_jk_3_3",4.69197282522,"jk","f"
"f_jk_3_4",2.39971991447,"jk","f"
"f_jk_3_5",0,"jk","f"
"f_jk_3_6",1.45391826379,"jk","f"
"f_jk_3_7",2.86251655558,"jk","f"
"f_jk_3_8",0,"jk","f"
"f_jk_3_9",0,"jk","f"
"f_jk_4_0",0,"jk","f"
"f_jk_4_1",0,"jk","f"
"f_jk_4_10",0,"jk","f"
"f_jk_4_11",0,"jk","f"
"f_jk_4_12",0,"jk","f"
"f_jk_4_13",0,"jk","f"
"f_jk_4_14",0,"jk","f"
"f_jk_4_15",0,"jk","f"
"f_jk_4_16",0,"jk","f"
"f_jk_4_17",0,"jk","f"
"f_jk_4_18",0,"jk","f"
"f_jk_4_19",0,"jk","f"
"f_jk_4_2",0,"jk","f"
"f_jk_4_20",0,"jk","f"
"f_jk_4_21",12.0493304378,"jk","f"
"f_jk_4_22",0,"jk","f"
"f_jk_4_23",0,"jk","f"
"f_jk_4_24",0,"jk","f"
"f_jk_4_25",0,"jk","f"
"f_jk_4_26",0,"jk","f"
"f_jk_4_27",0,"jk","f"
"f_jk_4_28",0,"jk","f"
"f_jk_4_29",0,"jk","f"
"f_jk_4_3",0,"jk","f"
"f_jk_4_4",0,"jk","f"
"f_jk_4_5",0,"jk","f"
"f_jk_4_6",0,"jk","f"
"f_jk_4_7",0,"jk","f"
"f_jk_4_8",0,"jk","f"
"f_jk_4_9",0,"jk","f"
"f_jk_5_0",0,"jk","f"
"f_jk_5_1",0,"jk","f"
"f_jk_5_10",0,"jk","f"
"f_jk_5_11",0,"jk","f"
"f_jk_5_12",0,"jk","f"
"f_jk_5_13",0,"jk","f"
"f_jk_5_14",3.368019071702,"jk","f"
"f_jk_5_15",0,"jk","f"
"f_jk_5_16",1.58720925809,"jk","f"
"f_jk_5_17",0,"jk","f"
"f_jk_5_18",0,"jk","f"
"f_jk_5_19",0,"jk","f"
"f_jk_5_2",0,"jk","f"
"f_jk_5_20",0,"jk","f"
"f_jk_5_21",2.343678955768,"jk","f"
"f_jk_5_22",0,"jk","f"
"f_jk_5_23",0,"jk","f"
"f_jk_5_24",0,"jk","f"
"f_jk_5_25",0,"jk","f"
"f_jk_5_26",0,"jk","f"
"f_jk_5_27",0,"jk","f"
"f_jk_5_28",0,"jk","f"
"f_jk_5_29",0,"jk","f"
"f_jk_5_3",0,"jk","f"
"f_jk_5_4",0,"jk","f"
"f_jk_5_5",0,"jk","f"
"f_jk_5_6",0,"jk","f"
"f_jk_5_7",0,"jk","f"
"f_jk_5_8",0,"jk","f"
"f_jk_5_9",0,"jk","f"
"f_jk_6_0",0,"jk","f"
"f_jk_6_1",0,"jk","f"
"f_jk_6_10",0,"jk","f"
"f_jk_6_11",0,"jk","f"
"f_jk_6_12",0,"jk","f"
"f_jk_6_13",0,"jk","f"
"f_jk_6_14",10.3746766711,"jk","f"
"f_jk_6_15",0,"jk","f"
"f_jk_6_16",0,"jk","f"
"f_jk_6_17",0,"jk","f"
"f_jk_6_18",0,"jk","f"
"f_jk_6_19",0,"jk","f"
"f_jk_6_2",0,"jk","f"
"f_jk_6_20",0,"jk","f"
"f_jk_6_21",0,"jk","f"
"f_jk_6_22",0,"jk","f"
"f_jk_6_23",0,"jk","f"
"f_jk_6_24",0,"jk","f"
"f_jk_6_25",0,"jk","f"
"f_jk_6_26",0,"jk","f"
"f_jk_6_27",0,"jk","f"
"f_jk_6_28",0,"jk","f"
"f_jk_6_29",0,"jk","f"
"f_jk_6_3",0,"jk","f"
"f_jk_6_4",0,"jk","f"
"f_jk_6_5",0,"jk","f"
"f_jk_6_6",0,"jk","f"
"f_jk_6_7",0,"jk","f"
"f_jk_6_8",0,"jk","f"
"f_jk_6_9",0,"jk","f"
"f_jk_7_0",0,"jk","f"
"f_jk_7_1",0,"jk","f"
"f_jk_7_10",0,"jk","f"
"f_jk_7_11",0,"jk","f"
"f_jk_7_12",0,"jk","f"
"f_jk_7_13",0,"jk","f"
"f_jk_7_14",0,"jk","f"
"f_jk_7_15",0,"jk","f"
"f_jk_7_16",0,"jk","f"
"f_jk_7_17",0,"jk","f"
"f_jk_7_18",0,"jk","f"
"f_jk_7_19",0,"jk","f"
"f_jk_7_2",0,"jk","f"
"f_jk_7_20",0,"jk","f"
"f_jk_7_21",0,"jk","f"
"f_jk_7_22",0,"jk","f"
"f_jk_7_23",0,"jk","f"
"f_jk_7_24",0,"jk","f"
"f_jk_7_25",0,"jk","f"
"f_jk_7_26",7.12921306329,"jk","f"
"f_jk_7_27",0,"jk","f"
"f_jk_7_28",5.95769614581,"jk","f"
"f_jk_7_29",0,"jk","f"
"f_jk_7_3",0,"jk","f"
"f_jk_7_4",0,"jk","f"
"f_jk_7_5",0,"jk","f"
"f_jk_7_6",0,"jk","f"
"f_jk_7_7",0,"jk","f"
"f_jk_7_8",0,"jk","f"
"f_jk_7_9",0,"jk","f"
"f_jk_8_0",0,"jk","f"
"f_jk_8_1",0,"jk","f"
"f_jk_8_10",0,"jk","f"
"f_jk_8_11",0,"jk","f"
"f_jk_8_12",0,"jk","f"
"f_jk_8_13",0,"jk","f"
"f_jk_8_14",11.7632965177,"jk","f"
"f_jk_8_15",0,"jk","f"
"f_jk_8_16",0,"jk","f"
"f_jk_8_17",0,"jk","f"
"f_jk_8_18",0,"jk","f"
"f_jk_8_19",0,"jk","f"
"f_jk_8_2",0,"jk","f"
"f_jk_8_20",0,"jk","f"
"f_jk_8_21",0,"jk","f"
"f_jk_8_22",0,"jk","f"
"f_jk_8_23",0,"jk","f"
"f_jk_8_24",0,"jk","f"
"f_jk_8_25",0,"jk","f"
"f_jk_8_26",0,"jk","f"
"f_jk_8_27",0,"jk","f"
"f_jk_8_28",0,"jk","f"
"f_jk_8_29",0,"jk","f"
"f_jk_8_3",0,"jk","f"
"f_jk_8_4",0,"jk","f"
"f_jk_8_5",0,"jk","f"
"f_jk_8_6",0,"jk","f"
"f_jk_8_7",0,"jk","f"
"f_jk_8_8",0,"jk","f"
"f_jk_8_9",0,"jk","f"
"f_jk_9_0",0,"jk","f"
"f_jk_9_1",0,"jk","f"
"f_jk_9_10",0,"jk","f"
"f_jk_9_11",0,"jk","f"
"f_jk_9_12",0,"jk","f"
"f_jk_9_13",0,"jk","f"
"f_jk_9_14",1.561731336108,"jk","f"
"f_jk_9_15",0,"jk","f"
"f_jk_9_16",0,"jk","f"
"f_jk_9_17",1.58061531304,"jk","f"
"f_jk_9_18",0,"jk","f"
"f_jk_9_19",0,"jk","f"
"f_jk_9_2",0,"jk","f"
"f_jk_9_20",0,"jk","f"
"f_jk_9_21",0,"jk","f"
"f_jk_9_22",0,"jk","f"
"f_jk_9_23",0,"jk","f"
"f_jk_9_24",0,"jk","f"
"f_jk_9_25",0,"jk","f"
"f_jk_9_26",0,"jk","f"
"f_jk_9_27",0,"jk","f"
"f_jk_9_28",6.820650694712,"jk","f"
"f_jk_9_29",1.78781454514,"jk","f"
"f_jk_9_3",0,"jk","f"
"f_jk_9_4",0,"jk","f"
"f_jk_9_5",0,"jk","f"
"f_jk_9_6",0,"jk","f"
"f_jk_9_7",0,"jk","f"
"f_jk_9_8",0,"jk","f"
"f_jk_9_9",0,"jk","f"
